,label
ENSG00000006625,1
ENSG00000006634,1
ENSG00000006638,0
ENSG00000006652,2
ENSG00000006695,2
ENSG00000006704,2
ENSG00000006712,2
ENSG00000006715,2
ENSG00000006740,0
ENSG00000006744,2
ENSG00000006747,1
ENSG00000006756,2
ENSG00000006757,2
ENSG00000006831,2
ENSG00000007038,2
ENSG00000007047,2
ENSG00000007062,1
ENSG00000007080,2
ENSG00000007129,0
ENSG00000007168,2
ENSG00000007171,2
ENSG00000007174,0
ENSG00000007202,2
ENSG00000007216,2
ENSG00000007237,0
ENSG00000007255,2
ENSG00000007264,0
ENSG00000007306,1
ENSG00000007312,2
ENSG00000007314,1
ENSG00000007341,2
ENSG00000007376,2
ENSG00000007384,2
ENSG00000007392,2
ENSG00000007402,0
ENSG00000007516,2
ENSG00000007520,2
ENSG00000007541,2
ENSG00000007545,2
ENSG00000007866,2
ENSG00000007908,0
ENSG00000007923,2
ENSG00000007933,0
ENSG00000007944,2
ENSG00000007952,1
ENSG00000007968,1
ENSG00000008018,2
ENSG00000008056,2
ENSG00000008083,2
ENSG00000008086,0
ENSG00000008118,2
ENSG00000008128,2
ENSG00000008130,2
ENSG00000008197,1
ENSG00000008226,0
ENSG00000008256,2
ENSG00000008277,2
ENSG00000008282,2
ENSG00000008283,2
ENSG00000008294,2
ENSG00000008300,1
ENSG00000008311,2
ENSG00000008323,1
ENSG00000008324,2
ENSG00000008382,2
ENSG00000008394,2
ENSG00000008405,2
ENSG00000008441,0
ENSG00000008513,2
ENSG00000008516,2
ENSG00000008517,2
ENSG00000008710,2
ENSG00000008735,1
ENSG00000008838,2
ENSG00000008853,2
ENSG00000008869,2
ENSG00000008952,2
ENSG00000008988,2
ENSG00000009307,2
ENSG00000009335,2
ENSG00000009413,2
ENSG00000009694,1
ENSG00000009709,1
ENSG00000009724,2
ENSG00000009765,1
ENSG00000009780,2
ENSG00000009790,2
ENSG00000009830,2
ENSG00000009844,2
ENSG00000009950,2
ENSG00000009954,2
ENSG00000010017,2
ENSG00000010030,2
ENSG00000010072,2
ENSG00000010165,2
ENSG00000010219,2
ENSG00000010244,2
ENSG00000010256,2
ENSG00000010270,2
ENSG00000010278,2
ENSG00000010292,1
ENSG00000010295,2
ENSG00000010310,2
ENSG00000010318,2
ENSG00000010319,0
ENSG00000010322,2
ENSG00000010327,2
ENSG00000010361,2
ENSG00000010379,0
ENSG00000010404,2
ENSG00000010438,1
ENSG00000010539,2
ENSG00000010610,2
ENSG00000010626,2
ENSG00000010671,0
ENSG00000010704,2
ENSG00000010803,2
ENSG00000010810,2
ENSG00000010818,2
ENSG00000010932,1
ENSG00000011007,2
ENSG00000011009,2
ENSG00000011021,2
ENSG00000011028,2
ENSG00000011105,2
ENSG00000011114,2
ENSG00000011132,2
ENSG00000011143,2
ENSG00000011198,2
ENSG00000011201,0
ENSG00000011243,2
ENSG00000011258,2
ENSG00000011260,2
ENSG00000011275,2
ENSG00000011295,2
ENSG00000011304,2
ENSG00000011332,1
ENSG00000011347,1
ENSG00000011376,2
ENSG00000011405,2
ENSG00000011422,2
ENSG00000011426,1
ENSG00000011451,2
ENSG00000011454,2
ENSG00000011465,0
ENSG00000011478,2
ENSG00000011485,2
ENSG00000011523,2
ENSG00000011566,2
ENSG00000011590,2
ENSG00000011600,0
ENSG00000011638,2
ENSG00000011677,1
ENSG00000012048,1
ENSG00000012061,2
ENSG00000012124,2
ENSG00000012171,0
ENSG00000012174,2
ENSG00000012211,2
ENSG00000012223,1
ENSG00000012232,2
ENSG00000012660,2
ENSG00000012779,0
ENSG00000012817,2
ENSG00000012822,0
ENSG00000012963,2
ENSG00000012983,2
ENSG00000013016,2
ENSG00000013275,2
ENSG00000013288,2
ENSG00000013297,0
ENSG00000013306,1
ENSG00000013364,2
ENSG00000013374,2
ENSG00000013375,2
ENSG00000013392,2
ENSG00000013441,2
ENSG00000013503,2
ENSG00000013523,2
ENSG00000013561,2
ENSG00000013563,2
ENSG00000013573,1
ENSG00000013583,2
ENSG00000013588,0
ENSG00000013619,2
ENSG00000013725,2
ENSG00000013810,1
ENSG00000014123,2
ENSG00000014138,2
ENSG00000014164,2
ENSG00000014216,2
ENSG00000014257,2
ENSG00000014641,2
ENSG00000014824,2
ENSG00000014914,1
ENSG00000014919,2
ENSG00000015133,2
ENSG00000015153,2
ENSG00000015171,2
ENSG00000015285,2
ENSG00000015413,1
ENSG00000015475,2
ENSG00000015479,1
ENSG00000015520,1
ENSG00000015532,2
ENSG00000015676,2
ENSG00000016082,1
ENSG00000016391,2
ENSG00000016402,0
ENSG00000016864,2
ENSG00000017260,2
ENSG00000017427,2
ENSG00000017483,2
ENSG00000017797,2
ENSG00000018189,2
ENSG00000018236,2
ENSG00000018280,0
ENSG00000018408,0
ENSG00000018510,2
ENSG00000018610,2
ENSG00000018625,0
ENSG00000018699,2
ENSG00000018869,2
ENSG00000019102,0
ENSG00000019144,2
ENSG00000019169,0
ENSG00000019186,1
ENSG00000019485,0
ENSG00000019505,1
ENSG00000019549,2
ENSG00000019582,2
ENSG00000019991,2
ENSG00000019995,2
ENSG00000020129,2
ENSG00000020181,2
ENSG00000020256,2
ENSG00000020426,2
ENSG00000020577,2
ENSG00000020633,2
ENSG00000020922,2
ENSG00000021300,2
ENSG00000021355,2
ENSG00000021488,1
ENSG00000021574,2
ENSG00000021645,2
ENSG00000021762,2
ENSG00000021776,2
ENSG00000021826,1
ENSG00000021852,0
ENSG00000022267,0
ENSG00000022277,2
ENSG00000022556,1
ENSG00000022567,2
ENSG00000022840,2
ENSG00000022976,2
ENSG00000023041,2
ENSG00000023171,1
ENSG00000023191,2
ENSG00000023228,2
ENSG00000023287,2
ENSG00000023318,2
ENSG00000023330,2
ENSG00000023445,2
ENSG00000023516,2
ENSG00000023572,2
ENSG00000023608,2
ENSG00000023697,2
ENSG00000023734,2
ENSG00000023839,1
ENSG00000023892,2
ENSG00000023902,2
ENSG00000023909,1
ENSG00000024048,2
ENSG00000024422,0
ENSG00000024526,1
ENSG00000024862,2
ENSG00000025039,2
ENSG00000025156,2
ENSG00000025293,2
ENSG00000025423,0
ENSG00000025434,2
ENSG00000025708,2
ENSG00000025770,2
ENSG00000025772,2
ENSG00000025796,2
ENSG00000025800,2
ENSG00000026025,0
ENSG00000026036,1
ENSG00000026103,2
ENSG00000026297,2
ENSG00000026508,0
ENSG00000026652,0
ENSG00000026751,1
ENSG00000026950,2
ENSG00000027001,2
ENSG00000027075,0
ENSG00000027697,2
ENSG00000027847,2
ENSG00000027869,2
ENSG00000028116,2
ENSG00000028137,2
ENSG00000028203,2
ENSG00000028277,2
ENSG00000028310,2
ENSG00000028528,2
ENSG00000028839,2
ENSG00000029153,1
ENSG00000029363,2
ENSG00000029364,2
ENSG00000029534,1
ENSG00000029559,1
ENSG00000029639,2
ENSG00000029725,2
ENSG00000029993,1
ENSG00000030066,2
ENSG00000030110,2
ENSG00000030304,0
ENSG00000030419,2
ENSG00000030582,2
ENSG00000031003,2
ENSG00000031081,0
ENSG00000031691,2
ENSG00000031698,2
ENSG00000031823,2
ENSG00000032219,2
ENSG00000032389,2
ENSG00000032444,0
ENSG00000032742,2
ENSG00000033011,2
ENSG00000033030,2
ENSG00000033050,2
ENSG00000033100,2
ENSG00000033122,2
ENSG00000033170,1
ENSG00000033178,2
ENSG00000033327,0
ENSG00000033627,2
ENSG00000033800,2
ENSG00000033867,2
ENSG00000034053,1
ENSG00000034152,2
ENSG00000034239,0
ENSG00000034510,2
ENSG00000034533,2
ENSG00000034677,2
ENSG00000034693,2
ENSG00000034713,2
ENSG00000034971,0
ENSG00000035115,2
ENSG00000035141,1
ENSG00000035403,2
ENSG00000035499,1
ENSG00000035664,0
ENSG00000035681,2
ENSG00000035687,2
ENSG00000035720,2
ENSG00000035862,2
ENSG00000035928,2
ENSG00000036054,2
ENSG00000036257,2
ENSG00000036448,0
ENSG00000036530,2
ENSG00000036549,2
ENSG00000036672,0
ENSG00000036828,1
ENSG00000037042,2
ENSG00000037241,2
ENSG00000037280,0
ENSG00000037474,1
ENSG00000037637,2
ENSG00000037749,2
ENSG00000037757,2
ENSG00000037897,1
ENSG00000037965,1
ENSG00000038002,2
ENSG00000038210,2
ENSG00000038219,2
ENSG00000038274,2
ENSG00000038295,0
ENSG00000038358,2
ENSG00000038382,2
ENSG00000038427,1
ENSG00000038532,2
ENSG00000038945,0
ENSG00000039068,2
ENSG00000039123,2
ENSG00000039139,2
ENSG00000039319,2
ENSG00000039523,0
ENSG00000039537,0
ENSG00000039560,2
ENSG00000039600,1
ENSG00000039650,2
ENSG00000040199,2
ENSG00000040275,1
ENSG00000040341,2
ENSG00000040487,2
ENSG00000040531,2
ENSG00000040608,2
ENSG00000040633,2
ENSG00000040933,2
ENSG00000041353,2
ENSG00000041357,2
ENSG00000041515,2
ENSG00000041802,2
ENSG00000041880,2
ENSG00000041982,1
ENSG00000041988,2
ENSG00000042062,2
ENSG00000042088,2
ENSG00000042286,2
ENSG00000042317,2
ENSG00000042429,2
ENSG00000042445,2
ENSG00000042493,2
ENSG00000042753,2
ENSG00000042832,2
ENSG00000042980,1
ENSG00000043039,1
ENSG00000043093,2
ENSG00000043143,2
ENSG00000043355,1
ENSG00000043462,2
ENSG00000043514,2
ENSG00000043591,0
ENSG00000044090,2
ENSG00000044115,2
ENSG00000044446,2
ENSG00000044459,2
ENSG00000044524,2
ENSG00000044574,2
ENSG00000046604,1
ENSG00000046647,2
ENSG00000046651,2
ENSG00000046653,0
ENSG00000046774,1
ENSG00000046889,0
ENSG00000047056,2
ENSG00000047188,2
ENSG00000047230,2
ENSG00000047249,2
ENSG00000047315,2
ENSG00000047346,2
ENSG00000047365,0
ENSG00000047410,2
ENSG00000047457,1
ENSG00000047578,2
ENSG00000047579,2
ENSG00000047597,2
ENSG00000047617,0
ENSG00000047621,2
ENSG00000047634,2
ENSG00000047644,2
ENSG00000047648,0
ENSG00000047662,2
ENSG00000047849,2
ENSG00000047932,2
ENSG00000047936,2
ENSG00000048028,2
ENSG00000048052,2
ENSG00000048140,2
ENSG00000048162,2
ENSG00000048342,2
ENSG00000048392,2
ENSG00000048405,2
ENSG00000048462,1
ENSG00000048471,2
ENSG00000048540,2
ENSG00000048544,2
ENSG00000048649,2
ENSG00000048707,2
ENSG00000048740,0
ENSG00000048828,2
ENSG00000048991,2
ENSG00000049089,1
ENSG00000049130,2
ENSG00000049167,2
ENSG00000049192,2
ENSG00000049239,2
ENSG00000049245,2
ENSG00000049246,2
ENSG00000049249,1
ENSG00000049283,1
ENSG00000049323,2
ENSG00000049449,2
ENSG00000049540,2
ENSG00000049541,2
ENSG00000049618,2
ENSG00000049656,2
ENSG00000049759,2
ENSG00000049768,1
ENSG00000049769,2
ENSG00000049860,2
ENSG00000049883,2
ENSG00000050030,2
ENSG00000050130,2
ENSG00000050165,0
ENSG00000050327,2
ENSG00000050344,1
ENSG00000050393,2
ENSG00000050405,2
ENSG00000050426,2
ENSG00000050438,2
ENSG00000050555,0
ENSG00000050628,2
ENSG00000050730,2
ENSG00000050748,2
ENSG00000050767,2
ENSG00000050820,2
ENSG00000051009,2
ENSG00000051108,2
ENSG00000051128,1
ENSG00000051180,1
ENSG00000051341,1
ENSG00000051382,2
ENSG00000051523,2
ENSG00000051596,2
ENSG00000051620,2
ENSG00000051825,1
ENSG00000052126,2
ENSG00000052344,2
ENSG00000052723,2
ENSG00000052749,2
ENSG00000052795,2
ENSG00000052802,0
ENSG00000052841,2
ENSG00000053108,1
ENSG00000053254,2
ENSG00000053328,2
ENSG00000053371,2
ENSG00000053372,2
ENSG00000053438,2
ENSG00000053501,2
ENSG00000053524,2
ENSG00000053702,2
ENSG00000053747,2
ENSG00000053770,2
ENSG00000053900,2
ENSG00000053918,2
ENSG00000054116,2
ENSG00000054118,2
ENSG00000054148,2
ENSG00000054179,1
ENSG00000054219,2
ENSG00000054267,2
ENSG00000054277,2
ENSG00000054282,2
ENSG00000054356,1
ENSG00000054392,2
ENSG00000054523,2
ENSG00000054598,2
ENSG00000054611,2
ENSG00000054654,2
ENSG00000054690,2
ENSG00000054793,2
ENSG00000054803,0
ENSG00000054938,1
ENSG00000054965,2
ENSG00000054967,2
ENSG00000054983,2
ENSG00000055044,2
ENSG00000055070,2
ENSG00000055118,1
ENSG00000055130,2
ENSG00000055147,2
ENSG00000055163,2
ENSG00000055208,2
ENSG00000055211,2
ENSG00000055332,2
ENSG00000055483,2
ENSG00000055609,2
ENSG00000055732,2
ENSG00000055813,0
ENSG00000055917,2
ENSG00000055950,2
ENSG00000056050,2
ENSG00000056097,2
ENSG00000056277,2
ENSG00000056291,1
ENSG00000056558,2
ENSG00000056586,2
ENSG00000056736,2
ENSG00000056972,2
ENSG00000056998,1
ENSG00000057019,1
ENSG00000057149,1
ENSG00000057252,2
ENSG00000057294,1
ENSG00000057593,1
ENSG00000057608,2
ENSG00000057657,2
ENSG00000057663,2
ENSG00000057704,2
ENSG00000057757,2
ENSG00000057935,2
ENSG00000058056,2
ENSG00000058063,2
ENSG00000058085,2
ENSG00000058091,2
ENSG00000058262,2
ENSG00000058272,2
ENSG00000058335,0
ENSG00000058404,1
ENSG00000058453,2
ENSG00000058600,2
ENSG00000058668,2
ENSG00000058729,2
ENSG00000058799,2
ENSG00000058804,1
ENSG00000058866,2
ENSG00000059122,2
ENSG00000059145,2
ENSG00000059377,2
ENSG00000059378,2
ENSG00000059573,1
ENSG00000059588,2
ENSG00000059691,2
ENSG00000059728,2
ENSG00000059758,2
ENSG00000059769,2
ENSG00000059804,0
ENSG00000059915,1
ENSG00000060069,2
ENSG00000060138,2
ENSG00000060140,1
ENSG00000060237,2
ENSG00000060339,2
ENSG00000060491,2
ENSG00000060558,2
ENSG00000060642,2
ENSG00000060656,2
ENSG00000060688,2
ENSG00000060709,1
ENSG00000060718,1
ENSG00000060749,2
ENSG00000060762,2
ENSG00000060971,2
ENSG00000060982,2
ENSG00000061273,2
ENSG00000061337,2
ENSG00000061455,2
ENSG00000061656,1
ENSG00000061676,2
ENSG00000061794,2
ENSG00000061918,2
ENSG00000061936,2
ENSG00000061938,2
ENSG00000061987,2
ENSG00000062038,1
ENSG00000062194,2
ENSG00000062282,2
ENSG00000062370,2
ENSG00000062485,2
ENSG00000062524,2
ENSG00000062598,2
ENSG00000062650,2
ENSG00000062716,1
ENSG00000062725,2
ENSG00000062822,2
ENSG00000063046,2
ENSG00000063127,2
ENSG00000063169,2
ENSG00000063176,2
ENSG00000063177,2
ENSG00000063180,2
ENSG00000063241,2
ENSG00000063244,2
ENSG00000063245,2
ENSG00000063322,2
ENSG00000063587,2
ENSG00000063601,2
ENSG00000063660,2
ENSG00000063761,2
ENSG00000063854,2
ENSG00000063978,2
ENSG00000064012,2
ENSG00000064042,0
ENSG00000064102,2
ENSG00000064115,2
ENSG00000064195,1
ENSG00000064199,2
ENSG00000064201,0
ENSG00000064205,0
ENSG00000064218,1
ENSG00000064225,2
ENSG00000064270,2
ENSG00000064300,2
ENSG00000064309,2
ENSG00000064313,2
ENSG00000064393,2
ENSG00000064419,2
ENSG00000064490,2
ENSG00000064545,2
ENSG00000064547,2
ENSG00000064601,2
ENSG00000064607,2
ENSG00000064651,2
ENSG00000064652,2
ENSG00000064655,1
ENSG00000064666,2
ENSG00000064687,2
ENSG00000064692,2
ENSG00000064703,2
ENSG00000064726,2
ENSG00000064763,0
ENSG00000064787,1
ENSG00000064886,0
ENSG00000064932,2
ENSG00000064933,2
ENSG00000064961,2
ENSG00000064989,0
ENSG00000064995,2
ENSG00000064999,0
ENSG00000065000,2
ENSG00000065029,2
ENSG00000065054,2
ENSG00000065057,2
ENSG00000065060,2
ENSG00000065135,2
ENSG00000065150,2
ENSG00000065154,2
ENSG00000065183,2
ENSG00000065243,2
ENSG00000065268,2
ENSG00000065308,2
ENSG00000065320,2
ENSG00000065325,0
ENSG00000065328,1
ENSG00000065357,2
ENSG00000065361,2
ENSG00000065413,2
ENSG00000065427,2
ENSG00000065457,2
ENSG00000065485,2
ENSG00000065491,2
ENSG00000065518,2
ENSG00000065526,2
ENSG00000065534,0
ENSG00000065548,2
ENSG00000065559,2
ENSG00000065600,2
ENSG00000065613,2
ENSG00000065615,2
ENSG00000065618,1
ENSG00000065621,2
ENSG00000065665,1
ENSG00000065675,0
ENSG00000065717,2
ENSG00000065802,2
ENSG00000065809,2
ENSG00000065833,2
ENSG00000065882,2
ENSG00000065883,2
ENSG00000065911,1
ENSG00000065923,1
ENSG00000065970,2
ENSG00000065978,2
ENSG00000065989,2
ENSG00000066027,2
ENSG00000066044,2
ENSG00000066056,0
ENSG00000066084,2
ENSG00000066117,2
ENSG00000066135,2
ENSG00000066136,2
ENSG00000066185,2
ENSG00000066230,1
ENSG00000066248,1
ENSG00000066279,1
ENSG00000066294,2
ENSG00000066322,2
ENSG00000066336,0
ENSG00000066379,2
ENSG00000066382,2
ENSG00000066405,0
ENSG00000066422,2
ENSG00000066427,2
ENSG00000066455,2
ENSG00000066468,0
ENSG00000066557,2
ENSG00000066583,2
ENSG00000066629,0
ENSG00000066651,2
ENSG00000066654,2
ENSG00000066697,2
ENSG00000066735,0
ENSG00000066739,2
ENSG00000066777,2
ENSG00000066827,2
ENSG00000066855,1
ENSG00000066923,1
ENSG00000066926,2
ENSG00000066933,2
ENSG00000067048,2
ENSG00000067057,1
ENSG00000067064,2
ENSG00000067066,2
ENSG00000067082,0
ENSG00000067113,2
ENSG00000067141,2
ENSG00000067167,2
ENSG00000067177,1
ENSG00000067182,2
ENSG00000067191,2
ENSG00000067208,2
ENSG00000067221,2
ENSG00000067225,2
ENSG00000067248,2
ENSG00000067334,2
ENSG00000067365,2
ENSG00000067369,2
ENSG00000067445,2
ENSG00000067533,2
ENSG00000067560,2
ENSG00000067596,2
ENSG00000067601,2
ENSG00000067606,2
ENSG00000067646,2
ENSG00000067704,2
ENSG00000067715,1
ENSG00000067798,2
ENSG00000067829,2
ENSG00000067836,2
ENSG00000067840,0
ENSG00000067900,2
ENSG00000067955,2
ENSG00000067992,2
ENSG00000068001,0
ENSG00000068024,2
ENSG00000068028,2
ENSG00000068078,2
ENSG00000068079,2
ENSG00000068097,2
ENSG00000068120,2
ENSG00000068137,2
ENSG00000068305,2
ENSG00000068308,2
ENSG00000068323,2
ENSG00000068354,2
ENSG00000068366,2
ENSG00000068383,2
ENSG00000068394,2
ENSG00000068400,2
ENSG00000068438,2
ENSG00000068489,1
ENSG00000068615,0
ENSG00000068650,2
ENSG00000068654,2
ENSG00000068697,2
ENSG00000068724,2
ENSG00000068745,2
ENSG00000068784,2
ENSG00000068796,2
ENSG00000068831,0
ENSG00000068878,2
ENSG00000068885,2
ENSG00000068903,2
ENSG00000068912,2
ENSG00000068971,2
ENSG00000068976,0
ENSG00000069011,1
ENSG00000069020,2
ENSG00000069122,0
ENSG00000069188,2
ENSG00000069248,2
ENSG00000069275,2
ENSG00000069329,2
ENSG00000069345,2
ENSG00000069399,2
ENSG00000069424,0
ENSG00000069431,2
ENSG00000069482,1
ENSG00000069493,2
ENSG00000069509,2
ENSG00000069535,0
ENSG00000069667,0
ENSG00000069696,2
ENSG00000069702,0
ENSG00000069764,1
ENSG00000069812,2
ENSG00000069849,2
ENSG00000069869,2
ENSG00000069943,2
ENSG00000069956,2
ENSG00000069966,2
ENSG00000069974,2
ENSG00000069998,2
ENSG00000070010,2
ENSG00000070018,2
ENSG00000070019,1
ENSG00000070031,2
ENSG00000070047,2
ENSG00000070061,2
ENSG00000070081,2
ENSG00000070087,1
ENSG00000070159,2
ENSG00000070182,1
ENSG00000070190,2
ENSG00000070193,0
ENSG00000070214,2
ENSG00000070269,2
ENSG00000070366,2
ENSG00000070367,2
ENSG00000070371,2
ENSG00000070404,2
ENSG00000070413,2
ENSG00000070423,2
ENSG00000070444,2
ENSG00000070476,2
ENSG00000070495,2
ENSG00000070501,1
ENSG00000070526,1
ENSG00000070540,2
ENSG00000070610,2
ENSG00000070614,0
ENSG00000070669,1
ENSG00000070718,2
ENSG00000070729,1
ENSG00000070731,0
ENSG00000070748,1
ENSG00000070756,1
ENSG00000070759,2
ENSG00000070761,2
ENSG00000070770,2
ENSG00000070778,0
ENSG00000070785,2
ENSG00000070808,0
ENSG00000070814,2
ENSG00000070831,2
ENSG00000070882,2
ENSG00000070915,2
ENSG00000070950,2
ENSG00000070961,2
ENSG00000071051,2
ENSG00000071054,2
ENSG00000071073,2
ENSG00000071082,2
ENSG00000071127,2
ENSG00000071189,2
ENSG00000071205,2
ENSG00000071242,2
ENSG00000071243,2
ENSG00000071246,0
ENSG00000071282,0
ENSG00000071462,2
ENSG00000071537,2
ENSG00000071539,1
ENSG00000071553,2
ENSG00000071564,2
ENSG00000071575,2
ENSG00000071626,2
ENSG00000071655,2
ENSG00000071794,2
ENSG00000071859,2
ENSG00000071889,2
ENSG00000071894,2
ENSG00000071909,1
ENSG00000071967,0
ENSG00000071991,0
ENSG00000071994,2
ENSG00000072041,1
ENSG00000072042,2
ENSG00000072062,2
ENSG00000072071,2
ENSG00000072080,1
ENSG00000072110,2
ENSG00000072121,2
ENSG00000072133,2
ENSG00000072134,2
ENSG00000072135,2
ENSG00000072163,0
ENSG00000072195,2
ENSG00000072201,2
ENSG00000072210,2
ENSG00000072274,0
ENSG00000072310,2
ENSG00000072364,2
ENSG00000072401,2
ENSG00000072415,2
ENSG00000072422,2
ENSG00000072501,2
ENSG00000072506,2
ENSG00000072518,2
ENSG00000072571,1
ENSG00000072609,2
ENSG00000072657,0
ENSG00000072682,2
ENSG00000072694,2
ENSG00000072736,2
ENSG00000072756,2
ENSG00000072778,2
ENSG00000072786,2
ENSG00000072803,2
ENSG00000072818,2
ENSG00000072832,2
ENSG00000072840,2
ENSG00000072849,2
ENSG00000072858,2
ENSG00000072864,2
ENSG00000072952,2
ENSG00000072954,2
ENSG00000072958,2
ENSG00000073008,2
ENSG00000073050,2
ENSG00000073060,2
ENSG00000073111,1
ENSG00000073146,1
ENSG00000073150,1
ENSG00000073169,2
ENSG00000073282,1
ENSG00000073331,2
ENSG00000073350,2
ENSG00000073417,2
ENSG00000073464,2
ENSG00000073536,2
ENSG00000073578,2
ENSG00000073584,2
ENSG00000073605,1
ENSG00000073614,2
ENSG00000073670,1
ENSG00000073711,2
ENSG00000073712,0
ENSG00000073737,2
ENSG00000073754,0
ENSG00000073756,2
ENSG00000073792,2
ENSG00000073803,2
ENSG00000073849,2
ENSG00000073861,2
ENSG00000073910,0
ENSG00000073921,2
ENSG00000073969,2
ENSG00000074047,2
ENSG00000074054,2
ENSG00000074071,2
ENSG00000074181,2
ENSG00000074201,2
ENSG00000074211,1
ENSG00000074219,2
ENSG00000074266,2
ENSG00000074276,1
ENSG00000074319,2
ENSG00000074356,2
ENSG00000074370,2
ENSG00000074410,1
ENSG00000074416,2
ENSG00000074527,0
ENSG00000074582,2
ENSG00000074590,2
ENSG00000074603,2
ENSG00000074621,2
ENSG00000074657,2
ENSG00000074660,0
ENSG00000074695,2
ENSG00000074696,2
ENSG00000074706,1
ENSG00000074755,2
ENSG00000074800,1
ENSG00000074842,2
ENSG00000074855,2
ENSG00000074935,2
ENSG00000074964,2
ENSG00000074966,2
ENSG00000075035,2
ENSG00000075043,1
ENSG00000075073,2
ENSG00000075089,2
ENSG00000075131,2
ENSG00000075142,2
ENSG00000075151,2
ENSG00000075188,2
ENSG00000075213,1
ENSG00000075218,1
ENSG00000075223,2
ENSG00000075234,2
ENSG00000075239,2
ENSG00000075240,2
ENSG00000075275,2
ENSG00000075292,2
ENSG00000075303,2
ENSG00000075336,2
ENSG00000075340,2
ENSG00000075391,2
ENSG00000075399,2
ENSG00000075407,2
ENSG00000075413,2
ENSG00000075415,2
ENSG00000075420,2
ENSG00000075426,2
ENSG00000075461,2
ENSG00000075539,2
ENSG00000075568,2
ENSG00000075618,2
ENSG00000075624,2
ENSG00000075643,2
ENSG00000075651,2
ENSG00000075673,2
ENSG00000075702,1
ENSG00000075711,2
ENSG00000075785,2
ENSG00000075790,2
ENSG00000075826,2
ENSG00000075856,2
ENSG00000075884,2
ENSG00000075914,2
ENSG00000075945,2
ENSG00000075975,2
ENSG00000076003,1
ENSG00000076043,2
ENSG00000076053,2
ENSG00000076067,0
ENSG00000076108,2
ENSG00000076201,2
ENSG00000076242,2
ENSG00000076248,2
ENSG00000076258,2
ENSG00000076321,2
ENSG00000076344,2
ENSG00000076351,2
ENSG00000076356,2
ENSG00000076382,1
ENSG00000076513,2
ENSG00000076554,1
ENSG00000076555,0
ENSG00000076604,1
ENSG00000076641,2
ENSG00000076650,2
ENSG00000076662,2
ENSG00000076685,2
ENSG00000076706,2
ENSG00000076716,2
ENSG00000076770,2
ENSG00000076826,2
ENSG00000076864,2
